orderid,date,prodnumber,prodname,categoryname,customerid,firstname,lastname,customercity,customerstate,quantity,price,total
112,2020-01-23,EB504,Cartesian Robots,eBooks,551,Amabelle,Kleinmintz,Littleton,Colorado,4,12.99,51.96
113,2020-01-23,BP101,All Eyes Drone Blueprint,Blueprints,1589,Heddi,Wissby,Chicago,Illinois,4,9.99,39.96
114,2020-01-23,DK206,BYOD-400,Drone Kits,275,Dorthea,Mirrlees,Newark,New Jersey,4,119,476
115,2020-01-23,TV811,Understanding Drone Regulations,Training Videos,1523,Stephan,Elliott,Wichita,Kansas,4,27.5,110
116,2020-01-24,TV808,Robotic Essentials,Training Videos,20,Waylan,Waison,Cedar Rapids,Iowa,3,34.99,104.97
117,2020-01-24,DS305,DTI-84 Drone,Drones,908,Fonsie,Aron,San Diego,California,2,455,910
118,2020-01-24,DS301,DA-SA702 Drone,Drones,2031,Darryl,Vassar,Carson City,Nevada,3,399,1197
119,2020-01-24,BP109,QuadroCopter Blueprint,Blueprints,1436,Dorie,Westmacott,Anchorage,Alaska,3,10.99,32.97
120,2020-01-24,EB504,Cartesian Robots,eBooks,1599,Marcella,Patey,San Jose,California,4,12.99,51.96
121,2020-01-24,RK607,BYOR-4005,Robot Kits,303,Betsy,Soal,Durham,North Carolina,5,245,1225
122,2020-01-24,TV804,Drone Video Techniques,Training Videos,5,Shea,Stronghill,Midland,Texas,1,37.99,37.99
123,2020-01-25,DS306,DX-145 Drone,Drones,1078,Johnathan,Ramsbotham,Topeka,Kansas,5,250,1250
124,2020-01-25,BP107,Ladybug Robot Blueprint,Blueprints,1646,Eugenia,Casale,New Orleans,Louisiana,5,12,60
125,2020-01-25,TV806,Mapping with Drones,Training Videos,831,Merilee,Denis,Montgomery,Alabama,3,49,147
126,2020-01-25,TV804,Drone Video Techniques,Training Videos,1111,Chrysler,Chadwick,Bakersfield,California,4,37.99,151.96
127,2020-01-26,DK208,BYOD-500,Drone Kits,1886,Trista,Orsman,Muncie,Indiana,4,167,668
128,2020-01-26,DS305,DTI-84 Drone,Drones,2013,Orton,Chaffin,Saint Louis,Missouri,5,455,2275
129,2020-01-26,EB507,Drone Building Essentials,eBooks,1848,Brantley,Nendick,Fresno,California,3,13.99,41.97
130,2020-01-27,EB509,GPS Drones,eBooks,1533,Cyrus,Ranking,Sacramento,California,1,19.99,19.99
131,2020-01-27,RS705,RQTE-554 Robot,Robots,1591,Bondy,Flint,Santa Barbara,California,3,684,2052
132,2020-01-27,EB503,Building Your Own Drone,eBooks,345,Winona,Crewe,Anchorage,Alaska,5,24.99,124.94999999999999
133,2020-01-27,BP102,Bsquare Robot Blueprint,Blueprints,256,Frasquito,Honatsch,Hartford,Connecticut,1,8.99,8.99
134,2020-01-27,EB509,GPS Drones,eBooks,1031,Gladys,O'Donnell,Norfolk,Virginia,5,19.99,99.94999999999999
135,2020-01-27,EB513,Photograph Drones,eBooks,216,Derry,Game,Newark,New Jersey,4,14.99,59.96
136,2020-01-27,EB520,Understanding Arduino,eBooks,1839,Mattias,Merigon,Boynton Beach,Florida,5,17.5,87.5
137,2020-01-28,TV805,Industrial 3D Printing,Training Videos,1802,Stan,Maro,Philadelphia,Pennsylvania,3,49,147
138,2020-01-28,EB502,Building Your First Robot,eBooks,1306,Daryl,Wimbury,Hartford,Connecticut,4,24.95,99.8
139,2020-01-28,EB509,GPS Drones,eBooks,1942,Stan,Gehringer,Boston,Massachusetts,3,19.99,59.97
140,2020-01-29,BP105,Creature Robot Arms Blueprint,Blueprints,1842,Issy,Castro,San Angelo,Texas,4,12,48
141,2020-01-29,EB504,Cartesian Robots,eBooks,1344,Doris,Friel,Young America,Minnesota,4,12.99,51.96
142,2020-01-29,TV802,AI for Educators,Training Videos,1161,Gabie,Enoch,Zephyrhills,Florida,5,49.95,249.75
143,2020-01-30,EB514,Polar Robots,eBooks,1227,Ravid,Scoines,Madison,Wisconsin,4,23.99,95.96
144,2020-01-30,RS703,RCB-889 Robot,Robots,1157,Lucky,Hollibone,San Antonio,Texas,5,549,2745
145,2020-01-30,DK206,BYOD-400,Drone Kits,1572,Hendrika,Tidman,Knoxville,Tennessee,4,119,476
146,2020-01-30,BP107,Ladybug Robot Blueprint,Blueprints,1696,Rahel,Georgelin,Brooklyn,New York,3,12,36
147,2020-01-30,RS703,RCB-889 Robot,Robots,1741,Raina,Ranyelld,Oxnard,California,3,549,1647
148,2020-01-31,TV803,Cloud Computing,Training Videos,451,Loutitia,Cota,Oakland,California,3,29.99,89.97
149,2020-01-31,DK208,BYOD-500,Drone Kits,961,Legra,Domenget,Scottsdale,Arizona,4,167,668
150,2020-01-31,DS303,DTD-7000 Drone,Drones,568,Elwin,Yakobovicz,Madison,Wisconsin,2,450,900
151,2020-01-31,TV801,Aerial Security,Training Videos,2031,Darryl,Vassar,Carson City,Nevada,3,36.99,110.97
152,2020-01-31,EB502,Building Your First Robot,eBooks,1136,Jeniffer,Bernaert,Toledo,Ohio,4,24.95,99.8
153,2020-01-31,RK602,BYOR-1000,Robot Kits,1983,Carney,Shenton,Cumming,Georgia,2,189,378
154,2020-02-01,TV802,AI for Educators,Training Videos,1119,Godfry,Macenzy,Springfield,Illinois,1,49.95,49.95
155,2020-02-01,TV808,Robotic Essentials,Training Videos,685,Benji,Minkin,Fairbanks,Alaska,5,34.99,174.95000000000002
156,2020-02-01,DK209,BYOD-550,Drone Kits,1505,Marlin,Haskins,Reno,Nevada,3,179,537
157,2020-02-01,EB520,Understanding Arduino,eBooks,535,Carie,Lowth,New York City,New York,4,17.5,70
158,2020-02-02,BP106,Hexacopter Drone Blueprint,Blueprints,1648,Alec,Christol,Charleston,South Carolina,5,8.99,44.95
159,2020-02-02,BP106,Hexacopter Drone Blueprint,Blueprints,645,Farah,Brignall,El Paso,Texas,5,8.99,44.95
160,2020-02-02,BP110,Sleepy Eye Blueprint,Blueprints,1036,Ginger,Daspar,Birmingham,Alabama,4,11.99,47.96
161,2020-02-02,BP108,Panda Robot Blueprint,Blueprints,1628,Ellie,Worley,Columbus,Ohio,2,7.99,15.98
162,2020-02-02,EB511,Helicopter Drones,eBooks,1996,Chaddy,Droghan,Tacoma,Washington,5,20.95,104.75
163,2020-02-02,RS703,RCB-889 Robot,Robots,1585,Cello,Gillion,Houston,Texas,2,549,1098
164,2020-02-03,EB514,Polar Robots,eBooks,868,Bobby,Froom,Salt Lake City,Utah,3,23.99,71.97
165,2020-02-03,EB501,Articulated Robots,eBooks,1991,Lawrence,Ilyin,Colorado Springs,Colorado,3,23.99,71.97
166,2020-02-03,DK202,BYOD-200,Drone Kits,604,Gale,Gallen,San Antonio,Texas,2,58.95,117.9
167,2020-02-03,RS707,RXW-9807 Robot,Robots,1070,Elroy,Anfonsi,Orlando,Florida,5,599,2995
168,2020-02-04,RS703,RCB-889 Robot,Robots,1825,Aldin,Gowdridge,Bloomington,Illinois,4,549,2196
169,2020-02-04,RK603,BYOR-1500,Robot Kits,481,Bobbie,Tomczynski,Minneapolis,Minnesota,6,189,1134
170,2020-02-04,EB508,Fixed Wing Drones,eBooks,2021,Ivor,McShirrie,Hot Springs National Park,Arkansas,5,15.5,77.5
171,2020-02-04,BP109,QuadroCopter Blueprint,Blueprints,500,Ingamar,Johanning,Kansas City,Kansas,3,10.99,32.97
172,2020-02-04,TV812,Understanding Raspberry PI,Training Videos,1320,Greer,Bednell,Akron,Ohio,3,28.99,86.97
173,2020-02-05,EB512,Multi Rotor Drones,eBooks,707,Dionne,Armytage,Riverside,California,3,24.95,74.85
174,2020-02-05,DK204,BYOD-300,Drone Kits,1296,Theodore,Housecroft,Cincinnati,Ohio,2,89,178
175,2020-02-05,RK605,BYOR-3000,Robot Kits,496,Carole,Halliburton,Anchorage,Alaska,5,214,1070
176,2020-02-05,DK202,BYOD-200,Drone Kits,1547,Westbrooke,Conybear,Austin,Texas,3,58.95,176.85000000000002
177,2020-02-05,TV813,Virtual Reality Basics,Training Videos,1508,Oralle,Zoellner,Peoria,Illinois,2,29.99,59.98
178,2020-02-06,DK208,BYOD-500,Drone Kits,1267,Lynnet,Jolley,Miami,Florida,3,167,501
179,2020-02-06,EB505,Delivery Drones,eBooks,204,Norrie,Acheson,Minneapolis,Minnesota,3,14.99,44.97
180,2020-02-06,BP104,Cat Robot Blueprint,Blueprints,1018,Dalenna,Oliver-Paull,Fort Wayne,Indiana,4,4.99,19.96
181,2020-02-06,DK209,BYOD-550,Drone Kits,770,Adolf,Kitchenham,Detroit,Michigan,3,179,537
182,2020-02-06,BP110,Sleepy Eye Blueprint,Blueprints,1081,Chickie,Pickover,Huntington Beach,California,3,11.99,35.97
183,2020-02-07,EB503,Building Your Own Drone,eBooks,661,Zonda,Poolman,Fargo,North Dakota,4,24.99,99.96
184,2020-02-07,EB504,Cartesian Robots,eBooks,302,Lewie,Roback,Madison,Wisconsin,4,12.99,51.96
185,2020-02-07,BP102,Bsquare Robot Blueprint,Blueprints,1589,Heddi,Wissby,Chicago,Illinois,4,8.99,35.96
186,2020-02-07,EB505,Delivery Drones,eBooks,1084,Clemmy,Scarr,Montgomery,Alabama,2,14.99,29.98
187,2020-02-07,EB503,Building Your Own Drone,eBooks,840,Carlynn,Kobierzycki,Atlanta,Georgia,1,24.99,24.99
188,2020-02-07,DS307,MICR-564K Drone,Drones,510,Werner,Spark,Reston,Virginia,5,499,2495
189,2020-02-08,TV811,Understanding Drone Regulations,Training Videos,454,Tobe,Sailor,Las Vegas,Nevada,5,27.5,137.5
190,2020-02-08,EB505,Delivery Drones,eBooks,1068,Robbert,Jachtym,Boston,Massachusetts,6,14.99,89.94
191,2020-02-08,DK207,BYOD-400S,Drone Kits,1634,Ellsworth,Cowthart,Saint Paul,Minnesota,4,129.95,519.8
192,2020-02-08,TV811,Understanding Drone Regulations,Training Videos,1023,Doralyn,Candey,Denver,Colorado,2,27.5,55
193,2020-02-08,DS304,DTE-QFN20 Drone,Drones,958,Don,Huddart,Miami,Florida,3,250,750
194,2020-02-08,RS706,RWW-75 Robot,Robots,202,Toiboid,Cowper,Fort Worth,Texas,4,883,3532
195,2020-02-09,EB513,Photograph Drones,eBooks,1634,Ellsworth,Cowthart,Saint Paul,Minnesota,3,14.99,44.97
196,2020-02-09,BP105,Creature Robot Arms Blueprint,Blueprints,1761,Bern,Hrishanok,Pasadena,California,3,12,36
197,2020-02-09,RS704,RLK-9920 Robot,Robots,934,Evangeline,Bartolozzi,Glendale,California,4,699,2796
198,2020-02-09,BP105,Creature Robot Arms Blueprint,Blueprints,1033,Bunni,Lapthorn,Tulsa,Oklahoma,3,12,36
199,2020-02-09,EB509,GPS Drones,eBooks,1905,Agata,Scawton,Abilene,Texas,2,19.99,39.98
200,2020-02-09,DK202,BYOD-200,Drone Kits,922,Lanni,D'Ambrogi,Columbia,Missouri,6,58.95,353.70000000000005
201,2020-02-09,RK602,BYOR-1000,Robot Kits,456,Velvet,Blackwood,Atlanta,Georgia,3,189,567
202,2020-02-10,DK207,BYOD-400S,Drone Kits,1614,Archibaldo,Olekhov,Salt Lake City,Utah,1,129.95,129.95
203,2020-02-10,TV802,AI for Educators,Training Videos,312,Timmy,Toulch,Phoenix,Arizona,2,49.95,99.9
204,2020-02-10,EB513,Photograph Drones,eBooks,203,Eldridge,Winman,Las Vegas,Nevada,3,14.99,44.97
205,2020-02-10,RK602,BYOR-1000,Robot Kits,1289,Jany,Halliday,Portland,Oregon,3,189,567
206,2020-02-11,DK207,BYOD-400S,Drone Kits,1894,Brian,Crowther,Tucson,Arizona,5,129.95,649.75
207,2020-02-11,EB516,RTF Drones,eBooks,1951,Tracy,Marians,Corona,California,4,16.99,67.96
208,2020-02-11,DS302,DC-304 Drone,Drones,1290,Shela,Welman,Columbus,Ohio,3,395,1185
209,2020-02-11,EB512,Multi Rotor Drones,eBooks,802,Boyce,Sorton,Bismarck,North Dakota,3,24.95,74.85
210,2020-02-11,RS705,RQTE-554 Robot,Robots,1399,Marco,Buckmaster,Detroit,Michigan,2,684,1368
211,2020-02-12,DS301,DA-SA702 Drone,Drones,1119,Godfry,Macenzy,Springfield,Illinois,4,399,1596
212,2020-02-12,BP102,Bsquare Robot Blueprint,Blueprints,2059,Brendin,Rickaby,Kansas City,Kansas,6,8.99,53.94
213,2020-02-12,EB514,Polar Robots,eBooks,1584,Egbert,Cole,Hartford,Connecticut,5,23.99,119.94999999999999
214,2020-02-12,DS305,DTI-84 Drone,Drones,680,Giacinta,Semered,Washington,District of Columbia,1,455,455
215,2020-02-12,TV808,Robotic Essentials,Training Videos,156,Eran,Grombridge,Washington,District of Columbia,5,34.99,174.95000000000002
216,2020-02-12,RS704,RLK-9920 Robot,Robots,1549,Harlan,Faulconer,Galveston,Texas,6,699,4194
217,2020-02-12,TV809,Understanding 3D Printing,Training Videos,1797,Luca,Arnaudon,Denver,Colorado,5,42.99,214.95000000000002
218,2020-02-12,DK203,BYOD-220,Drone Kits,906,Kitty,Brewitt,Flint,Michigan,4,69,276
219,2020-02-13,DS306,DX-145 Drone,Drones,1233,Riki,Oxtiby,Des Moines,Iowa,2,250,500
220,2020-02-13,RS704,RLK-9920 Robot,Robots,1043,Gwyneth,Goodere,Omaha,Nebraska,5,699,3495
221,2020-02-13,TV807,Open Source Code,Training Videos,1161,Gabie,Enoch,Zephyrhills,Florida,5,32.95,164.75
222,2020-02-13,EB519,Spherical Robots,eBooks,1002,Selia,Albrighton,Washington,District of Columbia,5,16.75,83.75
223,2020-02-13,RK605,BYOR-3000,Robot Kits,848,Carly,Neno,Aurora,Illinois,4,214,856
224,2020-02-14,TV804,Drone Video Techniques,Training Videos,1905,Agata,Scawton,Abilene,Texas,4,37.99,151.96
225,2020-02-14,DK207,BYOD-400S,Drone Kits,240,Corbin,Swan,Redwood City,California,2,129.95,259.9
226,2020-02-14,RS703,RCB-889 Robot,Robots,150,Pollyanna,Stonehewer,Houston,Texas,3,549,1647
227,2020-02-15,BP105,Creature Robot Arms Blueprint,Blueprints,2040,Rudy,Terzi,Roanoke,Virginia,3,12,36
228,2020-02-15,BP105,Creature Robot Arms Blueprint,Blueprints,1414,Chrysler,Klemenz,Oakland,California,6,12,72
229,2020-02-15,DK208,BYOD-500,Drone Kits,560,Betty,Hargerie,Phoenix,Arizona,2,167,334
230,2020-02-15,BP106,Hexacopter Drone Blueprint,Blueprints,1170,Lolita,Dreschler,Little Rock,Arkansas,2,8.99,17.98
231,2020-02-15,EB513,Photograph Drones,eBooks,866,Binky,Waiton,Madison,Wisconsin,5,14.99,74.95
